Timestamp,Int Temp,Int Hum,Ext Temp,Ext Hum,SystemV,RadiatorTemp
'19 Mar - 06:32:58',11.00,36.00,5.000,88.00,3.39,7.56
'19 Mar - 06:33:58',11.00,37.00,5.000,88.00,3.39,7.56
'19 Mar - 06:34:58',11.00,36.00,5.000,88.00,3.39,7.56
'19 Mar - 06:35:58',11.00,37.00,5.000,88.00,3.39,7.56
'19 Mar - 06:36:58',11.00,36.00,5.000,88.00,3.39,7.56
'19 Mar - 06:37:58',11.00,36.00,5.000,88.00,3.39,7.56
'19 Mar - 06:38:58',11.00,37.00,5.000,88.00,3.39,7.50
'19 Mar - 06:39:58',11.00,36.00,5.000,88.00,3.39,7.50
'19 Mar - 06:40:58',11.00,36.00,5.000,88.00,3.39,7.56
'19 Mar - 06:41:58',11.00,36.00,5.000,88.00,3.39,7.56
'19 Mar - 06:42:58',11.00,36.00,5.000,88.00,3.39,7.50
'19 Mar - 06:43:58',11.00,36.00,5.000,88.00,3.39,7.56
'19 Mar - 06:44:58',11.00,36.00,5.000,88.00,3.39,7.56
'19 Mar - 06:45:58',11.00,36.00,5.000,88.00,3.39,7.50
'19 Mar - 06:46:58',11.00,37.00,6.000,88.00,3.39,7.50
'19 Mar - 06:47:58',11.00,37.00,5.000,88.00,3.39,7.50
'19 Mar - 06:48:58',11.00,36.00,6.000,88.00,3.39,7.50
'19 Mar - 06:49:58',11.00,36.00,5.000,88.00,3.39,7.50
'19 Mar - 06:50:58',11.00,36.00,6.000,88.00,3.39,7.50
'19 Mar - 06:51:58',11.00,37.00,6.000,88.00,3.39,7.50
'19 Mar - 06:52:58',11.00,36.00,6.000,88.00,3.39,7.50
'19 Mar - 06:53:58',11.00,36.00,6.000,88.00,3.39,7.50
'19 Mar - 06:54:58',11.00,36.00,6.000,88.00,3.39,7.50
'19 Mar - 06:55:58',11.00,37.00,6.000,88.00,3.39,7.50
'19 Mar - 06:56:58',11.00,36.00,6.000,88.00,3.39,7.56
'19 Mar - 06:57:58',11.00,36.00,6.000,88.00,3.39,7.50
'19 Mar - 06:58:58',11.00,36.00,6.000,88.00,3.39,7.56
'19 Mar - 06:59:58',11.00,36.00,6.000,88.00,3.39,7.50
'19 Mar - 07:00:58',11.00,36.00,6.000,88.00,3.39,7.50
